Link,Username,Rank,Timeline,Review,Response
https://lh3.googleusercontent.com/a-/ALV-UjUDW_eLUfElkYFjQDO-HR_5v0BUP2hNlZknKlBPIlyOroLL=w45-h45-p-rp-mo-ba6-br100,Sankett Mhatre,"Local Guide · 213 reviews · 1,612 photos",4 years ago,"Very good college infrastructure which includes banks, restaurant and Toyota showroom in the college itself",
https://lh3.googleusercontent.com/a/ACg8ocKGZaD2TqDE7_rUU1qbTMGyT48N86qubIHzu4sPxeEg=w45-h45-p-rp-mo-br100,Himanshu Behra,11 reviews,4 years ago,"One of the best upcoming college. They are seriously trying to improve their education quality.
Canteen provides excellent food and infrastructure may not look so good from …",Share
https://lh3.googleusercontent.com/a/ACg8ocKqodMfXl8I2F_naOIwZT1Iii9wzYWVCxScjNgE-lUk=w45-h45-p-rp-mo-br100,anushri tambe,6 reviews,4 years ago,"Awesome  College with excellent facilities for students like Project Based Learning, Foreign Languages all for free of cost.
College has lot of industrial collaborations. It has excellent placement cell. …",Share
https://lh3.googleusercontent.com/a/ACg8ocIlYIgGRltKVSkOhJc2EpzzCUclvcuymVjxfO7ik4UX=w45-h45-p-rp-mo-br100,Manish gadle,2 reviews,4 years ago,"One of the best college in Maharashtra. Very good infrastructure and labs. Facilities like Project Based Learning, Foreign languages that too free of cost, helps students to stand with confidence in Industry. Various events are organised in …",Share
https://lh3.googleusercontent.com/a/ACg8ocLW4hwa0KT05YmNHCCuDPBNPnVG_aQtHbS_LrCPvmqE=w45-h45-p-rp-mo-br100,Inwincible I am,1 review,4 years ago,It is best college under university of Mumbai. Following are some unique features. I heard they reward students with high attendance. Foreign languages are taught here for interested students without any financial burden. There is Project …,Share
https://lh3.googleusercontent.com/a-/ALV-UjV5aIib2HvbtJ_UvaeuudNYCESJp_ZqHSqBr9KqBe4VhtY=w45-h45-p-rp-mo-ba4-br100,Juee Gunjal,Local Guide · 66 reviews · 115 photos,2 years ago,"Nice infrastructure. Staff is good. This place is just awesome , It's NBA accredited , you will get best knowledge here. It has 4-5 engineering courses. This institute provides you industry knowledge along with bookish knowledge. Each and …",Share
https://lh3.googleusercontent.com/a/ACg8ocJSMSRSUgPIBMLLHgqXzt53M-aLoukooI4QrWC4Ccm6=w45-h45-p-rp-mo-br100,Mamta Kurvey,1 review,4 years ago,The infra structure of the college is very good. The staff members are well qualified and experienced. All the staff members are ready to help students for their queries.  Project based learning (PBL) is offered to students without any …,Share
https://lh3.googleusercontent.com/a/ACg8ocL_aUelDx2oq-ZT5br40wLV96capLh4BkghP9pWTqi4=w45-h45-p-rp-mo-br100,Vinod Nair,1 review,3 years ago,"A. P. Shah Institute of Technology,  best  technical College in Thane District, located on GB road. The interior and the infrastructure is very good and attractive by which any one can come and join the institution. It Has good Library and …",Share
https://lh3.googleusercontent.com/a/ACg8ocJq0qP8RlnXYwg-pRdwBHlV5nz30ZKWrJ5hSxZuC4xRdg=w45-h45-p-rp-mo-br100,Dilip Ray,1 review,11 months ago,"It's the Thane's best Engineering college. Little Expensive just for infrastructure and Ac Classrooms.
Faculties are good except the some of them are not so helping type.",Share
https://lh3.googleusercontent.com/a-/ALV-UjX41OtA7w9hN75beAQfHCHrXq0IsXRism7nZrwAWExUDFM=w45-h45-p-rp-mo-br100,Komal B Gujarati,2 reviews,4 years ago,"The college is very good and road touch.

The faculty is nice and good infrastructure. …",Share
https://lh3.googleusercontent.com/a/ACg8ocKh706aWZeWuJpp8YENhJcNCsuUye5j5l_A1Y8FT05g=w45-h45-p-rp-mo-br100,chinmay sapre,1 review,4 years ago,"The best upcoming Engineering college, which aims to groom the students over and above academics. The facilities served are top-notch, accompanied with latest technologies in all the sectors made available to the students. The college takes …",Share
https://lh3.googleusercontent.com/a-/ALV-UjVVv3OypA80ScYlhvnZivjk1FGlAq6LByVsJoMjRDqp0w=w45-h45-p-rp-mo-br100,Keshav Gupta,18 reviews · 9 photos,4 years ago,"One of the best college in Maharashtra easy to locate .
Good infrastructure with all the facilities in the campus itself like canteen , bank, parking, restaurant and many more. …",Share
https://lh3.googleusercontent.com/a-/ALV-UjX5eCMD2rQxaNyefFdCg_ysyjmRtcGFHABl3ERmjWnegtI=w45-h45-p-rp-mo-br100,rohit magdum,4 reviews,4 years ago,Well known college in Thane ..Students are motivated to take part in various events which improves their practical knowledge..Campus placements are also good. All faculty and staff are helpful. Students who want to become entrepreneur also get various trainings to improve capabilities that too free of cost.,Share
